"id","year","quarter","state_name","num_blocks_surveyed","households","males_age_0_4_years","females_age_0_4_years","persons_age_0_4_years","males_age_5_14_years","females_age_5_14_years","persons_age_5_14_years","males_age_15_29_years","females_age_15_29_years","persons_age_15_29_years","males_age_15_59_years","females_age_15_59_years","persons_age_15_59_years","males_age_15_above_years","females_age_15_above_years","persons_age_15_above_years","males_all_ages","females_all_ages","persons_all_ages","state_code"
506,"2024","January-March","Andhra Pradesh",223.0,1751.0,131.0,135.0,266.0,366.0,368.0,734.0,762.0,708.0,1470.0,1925.0,2044.0,3969.0,2274.0,2413.0,4687.0,2771.0,2916.0,5687.0,"28"
507,"2024","January-March","Assam",112.0,890.0,88.0,81.0,169.0,228.0,200.0,428.0,386.0,383.0,769.0,1123.0,1122.0,2245.0,1314.0,1320.0,2634.0,1630.0,1601.0,3231.0,"18"
508,"2024","January-March","Bihar",168.0,1335.0,336.0,279.0,615.0,564.0,556.0,1120.0,952.0,807.0,1759.0,2041.0,1867.0,3909.0,2278.0,2088.0,4367.0,3178.0,2923.0,6102.0,"10"
509,"2024","January-March","Chhattisgarh",103.0,816.0,80.0,92.0,172.0,237.0,194.0,431.0,469.0,457.0,926.0,1164.0,1138.0,2302.0,1323.0,1301.0,2624.0,1640.0,1587.0,3227.0,"22"
510,"2024","January-March","Delhi",120.0,810.0,74.0,77.0,151.0,209.0,186.0,395.0,402.0,334.0,736.0,983.0,848.0,1831.0,1126.0,994.0,2120.0,1409.0,1257.0,2666.0,"07"
511,"2024","January-March","Gujarat",231.0,1809.0,242.0,196.0,438.0,479.0,448.0,927.0,1073.0,988.0,2061.0,2590.0,2470.0,5061.0,3000.0,2906.0,5907.0,3721.0,3550.0,7272.0,"24"
512,"2024","January-March","Haryana",160.0,1236.0,185.0,156.0,341.0,407.0,307.0,714.0,740.0,594.0,1334.0,1694.0,1505.0,3199.0,1959.0,1794.0,3753.0,2551.0,2257.0,4808.0,"06"
513,"2024","January-March","Himachal Pradesh",48.0,372.0,32.0,26.0,58.0,87.0,68.0,155.0,175.0,130.0,305.0,422.0,352.0,774.0,484.0,423.0,907.0,603.0,517.0,1120.0,"02"
514,"2024","January-March","Jharkhand",136.0,1072.0,157.0,144.0,301.0,376.0,348.0,724.0,642.0,600.0,1244.0,1486.0,1436.0,2924.0,1696.0,1638.0,3336.0,2229.0,2130.0,4361.0,"20"
515,"2024","January-March","Karnataka",295.0,2314.0,223.0,210.0,433.0,508.0,432.0,940.0,1117.0,998.0,2115.0,2751.0,2625.0,5376.0,3199.0,3153.0,6352.0,3930.0,3795.0,7725.0,"29"
516,"2024","January-March","Kerala",304.0,2385.0,234.0,267.0,501.0,584.0,581.0,1165.0,792.0,817.0,1609.0,2281.0,2697.0,4978.0,3048.0,3618.0,6667.0,3866.0,4466.0,8333.0,"32"
517,"2024","January-March","Madhya Pradesh",246.0,1917.0,293.0,256.0,549.0,625.0,590.0,1215.0,1110.0,1052.0,2162.0,2676.0,2641.0,5317.0,3087.0,3069.0,6156.0,4005.0,3915.0,7920.0,"23"
518,"2024","January-March","Maharashtra",557.0,4350.0,471.0,434.0,905.0,1205.0,1071.0,2276.0,2270.0,1953.0,4224.0,5714.0,5346.0,11061.0,6627.0,6341.0,12969.0,8303.0,7846.0,16150.0,"27"
519,"2024","January-March","Odisha",136.0,1047.0,113.0,123.0,236.0,269.0,253.0,522.0,510.0,474.0,984.0,1308.0,1293.0,2601.0,1537.0,1495.0,3032.0,1919.0,1871.0,3790.0,"21"
520,"2024","January-March","Punjab",208.0,1645.0,180.0,198.0,378.0,499.0,461.0,960.0,881.0,737.0,1619.0,2167.0,2013.0,4181.0,2547.0,2425.0,4973.0,3226.0,3084.0,6311.0,"03"
521,"2024","January-March","Rajasthan",216.0,1637.0,252.0,226.0,478.0,604.0,554.0,1158.0,1122.0,978.0,2100.0,2458.0,2365.0,4823.0,2846.0,2777.0,5623.0,3702.0,3557.0,7259.0,"08"
522,"2024","January-March","Tamil Nadu",438.0,3451.0,317.0,308.0,625.0,729.0,671.0,1400.0,1318.0,1381.0,2699.0,3679.0,3942.0,7622.0,4459.0,4828.0,9288.0,5505.0,5807.0,11313.0,"33"
523,"2024","January-March","Telangana",198.0,1549.0,155.0,150.0,305.0,444.0,431.0,875.0,701.0,663.0,1364.0,1817.0,1810.0,3627.0,2095.0,2095.0,4190.0,2694.0,2676.0,5370.0,"36"
524,"2024","January-March","Uttarakhand",96.0,720.0,104.0,81.0,185.0,220.0,238.0,458.0,378.0,346.0,724.0,931.0,892.0,1823.0,1070.0,1022.0,2092.0,1394.0,1341.0,2735.0,"05"
525,"2024","January-March","Uttar Pradesh",408.0,3231.0,563.0,503.0,1066.0,1371.0,1127.0,2498.0,2205.0,1921.0,4126.0,4878.0,4557.0,9435.0,5502.0,5155.0,10657.0,7436.0,6785.0,14221.0,"09"
526,"2024","January-March","West Bengal",370.0,2909.0,293.0,311.0,604.0,631.0,604.0,1235.0,1345.0,1410.0,2755.0,3730.0,3811.0,7541.0,4507.0,4592.0,9099.0,5431.0,5507.0,10938.0,"19"
527,"2024","January-March","Jammu And Kashmir",168.0,1327.0,189.0,169.0,358.0,451.0,404.0,855.0,721.0,622.0,1343.0,1931.0,1787.0,3718.0,2250.0,2127.0,4377.0,2890.0,2700.0,5590.0,"01"
528,"2024","January-March","All-India",5706.0,44598.0,5421.0,5157.0,10578.0,13045.0,11956.0,25001.0,23018.0,21302.0,44324.0,57528.0,56473.0,114009.0,67135.0,66736.0,133880.0,85601.0,83849.0,169459.0,"99"
